uri,label_en
https://www.congress.gov/help/field-values/legislative-subject-terms#310,Automobiles
https://www.congress.gov/help/field-values/legislative-subject-terms#311,Autopsy
https://www.congress.gov/help/field-values/legislative-subject-terms#312,Avalanches
https://www.congress.gov/help/field-values/legislative-subject-terms#313,Aviation agreements
https://www.congress.gov/help/field-values/legislative-subject-terms#314,Aviation and airports
https://www.congress.gov/help/field-values/legislative-subject-terms#315,Aviation fuels
https://www.congress.gov/help/field-values/legislative-subject-terms#316,Aviation insurance
https://www.congress.gov/help/field-values/legislative-subject-terms#317,Aviation safety
https://www.congress.gov/help/field-values/legislative-subject-terms#318,Avionics
https://www.congress.gov/help/field-values/legislative-subject-terms#319,"Awards, medals, prizes"
https://www.congress.gov/help/field-values/legislative-subject-terms#320,Azerbaijan
https://www.congress.gov/help/field-values/legislative-subject-terms#321,Bacteria
https://www.congress.gov/help/field-values/legislative-subject-terms#322,Bacterial diseases
https://www.congress.gov/help/field-values/legislative-subject-terms#323,Bahamas
https://www.congress.gov/help/field-values/legislative-subject-terms#324,Bahrain
https://www.congress.gov/help/field-values/legislative-subject-terms#325,Bail
https://www.congress.gov/help/field-values/legislative-subject-terms#326,Balance of payments
https://www.congress.gov/help/field-values/legislative-subject-terms#327,Balance of power
https://www.congress.gov/help/field-values/legislative-subject-terms#328,Balanced budgets
https://www.congress.gov/help/field-values/legislative-subject-terms#329,Ballistic missile defenses
https://www.congress.gov/help/field-values/legislative-subject-terms#330,Ballistic missiles
https://www.congress.gov/help/field-values/legislative-subject-terms#331,Ballots
https://www.congress.gov/help/field-values/legislative-subject-terms#332,Bangladesh
https://www.congress.gov/help/field-values/legislative-subject-terms#333,Bank accounts
https://www.congress.gov/help/field-values/legislative-subject-terms#334,"Bank accounts, deposits, capital"
https://www.congress.gov/help/field-values/legislative-subject-terms#335,Bank capital
https://www.congress.gov/help/field-values/legislative-subject-terms#336,Bank deposits
https://www.congress.gov/help/field-values/legislative-subject-terms#337,Bank employees
https://www.congress.gov/help/field-values/legislative-subject-terms#338,Bank examination
https://www.congress.gov/help/field-values/legislative-subject-terms#339,Bank failures
https://www.congress.gov/help/field-values/legislative-subject-terms#340,Bank fraud
https://www.congress.gov/help/field-values/legislative-subject-terms#341,Bank holding companies
https://www.congress.gov/help/field-values/legislative-subject-terms#342,Bank loans
https://www.congress.gov/help/field-values/legislative-subject-terms#343,Bank management
https://www.congress.gov/help/field-values/legislative-subject-terms#344,Bank mergers
https://www.congress.gov/help/field-values/legislative-subject-terms#345,Bank records
https://www.congress.gov/help/field-values/legislative-subject-terms#346,Bank reserves
https://www.congress.gov/help/field-values/legislative-subject-terms#347,Banking and financial institutions regulation
https://www.congress.gov/help/field-values/legislative-subject-terms#348,Bankruptcy
https://www.congress.gov/help/field-values/legislative-subject-terms#349,Bankruptcy courts
https://www.congress.gov/help/field-values/legislative-subject-terms#350,Bar associations
https://www.congress.gov/help/field-values/legislative-subject-terms#351,Barbados
https://www.congress.gov/help/field-values/legislative-subject-terms#352,Barber and beauty shops
https://www.congress.gov/help/field-values/legislative-subject-terms#353,Barbiturates
https://www.congress.gov/help/field-values/legislative-subject-terms#354,Barges
https://www.congress.gov/help/field-values/legislative-subject-terms#355,Barley
https://www.congress.gov/help/field-values/legislative-subject-terms#356,Barrier islands
https://www.congress.gov/help/field-values/legislative-subject-terms#357,Barter
https://www.congress.gov/help/field-values/legislative-subject-terms#358,Baseball
https://www.congress.gov/help/field-values/legislative-subject-terms#359,Basketball
https://www.congress.gov/help/field-values/legislative-subject-terms#360,Bats
https://www.congress.gov/help/field-values/legislative-subject-terms#361,Beaches
https://www.congress.gov/help/field-values/legislative-subject-terms#362,Bearings
https://www.congress.gov/help/field-values/legislative-subject-terms#363,Bears
https://www.congress.gov/help/field-values/legislative-subject-terms#364,Beer
https://www.congress.gov/help/field-values/legislative-subject-terms#365,Bees
https://www.congress.gov/help/field-values/legislative-subject-terms#366,Behavioral sciences
https://www.congress.gov/help/field-values/legislative-subject-terms#367,Belarus
https://www.congress.gov/help/field-values/legislative-subject-terms#368,Belgium
https://www.congress.gov/help/field-values/legislative-subject-terms#369,Belize
https://www.congress.gov/help/field-values/legislative-subject-terms#370,Benin
https://www.congress.gov/help/field-values/legislative-subject-terms#371,Bering Sea
https://www.congress.gov/help/field-values/legislative-subject-terms#372,Bermuda
https://www.congress.gov/help/field-values/legislative-subject-terms#373,Beryllium
https://www.congress.gov/help/field-values/legislative-subject-terms#374,Beverage containers
https://www.congress.gov/help/field-values/legislative-subject-terms#375,Beverages
https://www.congress.gov/help/field-values/legislative-subject-terms#376,Bhutan
https://www.congress.gov/help/field-values/legislative-subject-terms#377,Bible
https://www.congress.gov/help/field-values/legislative-subject-terms#378,Bicycles
https://www.congress.gov/help/field-values/legislative-subject-terms#379,Biennial budgets
https://www.congress.gov/help/field-values/legislative-subject-terms#380,Bigamy
https://www.congress.gov/help/field-values/legislative-subject-terms#381,Bikeways
https://www.congress.gov/help/field-values/legislative-subject-terms#382,Bilingualism
https://www.congress.gov/help/field-values/legislative-subject-terms#383,Bill of Rights
https://www.congress.gov/help/field-values/legislative-subject-terms#384,Billboards
https://www.congress.gov/help/field-values/legislative-subject-terms#385,Bioaccumulation
https://www.congress.gov/help/field-values/legislative-subject-terms#386,Biochemistry
https://www.congress.gov/help/field-values/legislative-subject-terms#387,Biodegradation
https://www.congress.gov/help/field-values/legislative-subject-terms#388,Biography
https://www.congress.gov/help/field-values/legislative-subject-terms#389,Biological and life sciences
https://www.congress.gov/help/field-values/legislative-subject-terms#390,Biological diversity
https://www.congress.gov/help/field-values/legislative-subject-terms#391,Biological research
https://www.congress.gov/help/field-values/legislative-subject-terms#392,Biological warfare
https://www.congress.gov/help/field-values/legislative-subject-terms#393,Biology
https://www.congress.gov/help/field-values/legislative-subject-terms#394,Biomass energy
